,Year,Targeted,Begging,Factory visiting,Total,TargetedProp,BegProp,FactProp
1,1810,5,1,4,24,0.208333333333333,0.041666666666667,0.166666666666667
2,1830,14,3,8,67,0.208955223880597,0.044776119402985,0.119402985074627
3,1850,12,3,4,99,0.121212121212121,0.03030303030303,0.04040404040404
4,1870,3,3,2,58,0.051724137931035,0.051724137931035,0.03448275862069
5,1890,4,0,1,62,0.064516129032258,0,0.016129032258065
6,1910,1,0,2,59,0.016949152542373,0,0.033898305084746
7,1930,2,0,0,45,0.044444444444444,0,0
